[2020-09-29 12:23:29+00:00; jrguzzofatos; A forma de militância adotada pela maioria é não anunciar seus produtos em publicações excomungadas como “de direita”, sobretudo no mundo digital, pelos grupos de vigilantes políticos ou pelas “agências de verificação de notícias” que se multiplicam por aí afora https://t.co/m8gSMiRlyr; 29; 265; 1426; 2; https://twitter.com/jrguzzofatos/status/1310918118340952065; None; https://twitter.com/revistaoeste/status/1310912277126803456] 
[2020-09-28 02:49:20+00:00; jrguzzofatos; @Jrodrigues1954 @MariaHe76243708 Obrigado a vc, Jrodrigues. 🤙🤙🤙; 2; 2; 55; 0; https://twitter.com/jrguzzofatos/status/1310411239693193217; None; None] 
[2020-09-27 22:28:49+00:00; jrguzzofatos; @silvionavarro Grande SILVIO ... Você é quem brilha ✊✊✊; 10; 26; 485; 0; https://twitter.com/jrguzzofatos/status/1310345679819231234; None; None] 
[2020-09-27 22:22:59+00:00; jrguzzofatos; Algo deve estar errado com o Brasil quando os grandes personagens do noticiário político são Alcolumbre, Dias Toffoli e Luciano Huck – ou quando a maior esperança dos adversários de Bolsonaro é q o STF invente uma gambiarra qualquer p/ resolver a sua vida https://t.co/gn0AhfCwf1; 194; 2198; 11326; 52; https://twitter.com/jrguzzofatos/status/1310344208616755208; None; None] 
[2020-09-27 18:23:28+00:00; jrguzzofatos; @LucianaACBarros @conservador2022 @Estadao Cara Luciana Obrigado ! 🥰; 2; 0; 21; 0; https://twitter.com/jrguzzofatos/status/1310283935105064962; None; None] 
[2020-09-26 13:17:39+00:00; jrguzzofatos; @profcesarsilva Prezado professor  Acredito que as contas estão corretas. O texto diz que “950.000” mortos (é o número oficial) representam 3% de 0,4% da população supostamente infectada.; 2; 0; 12; 0; https://twitter.com/jrguzzofatos/status/1309844584864907270; None; None] 
[2020-09-25 21:48:03+00:00; jrguzzofatos; Até o momento, pelo que informam as estatísticas oficiais, cerca de 30 milhões de pessoas em todo o mundo foram contaminadas pelo coronavírus desde março. É menos de 0,4% da população mundial, hoje estimada em quase 8 bilhões de pessoas. https://t.co/odJd91qyql; 124; 1201; 4870; 26; https://twitter.com/jrguzzofatos/status/1309610645583736832; None; None] 
[2020-09-21 21:01:34+00:00; jrguzzofatos; As altas camadas do funcionalismo público em geral, e do Judiciário em particular, transformaram-se em máquinas de criar pobreza neste país. De onde, na vida real, sai o dinheiro q vai pagar os salários a mais que os sindicalistas da magistratura recebem? https://t.co/r3XBoaySDM; 107; 1196; 4220; 35; https://twitter.com/jrguzzofatos/status/1308149394588528641; None; None] 
[2020-09-16 01:38:45+00:00; jrguzzofatos; @LucianaACBarros @mtcosmo1 Alô Luciana  Obrigado... 🥰; 0; 0; 2; 0; https://twitter.com/jrguzzofatos/status/1306044822067851265; None; None] 
[2020-09-15 15:56:29+00:00; jrguzzofatos; Fernando Henrique inventou a reeleição. Nao reclamou de nada quando ele próprio foi reeleito, é claro — e nem quando Lula e Dilma se reelegeram, um depois do outro. Agora, como acha que Bolsonaro pode ganhar em 2022, ficou contra. O que era lindo 20 anos atrás virou um horror.; 926; 6026; 27902; 316; https://twitter.com/jrguzzofatos/status/1305898290723127297; None; None] 
[2020-09-14 21:55:08+00:00; jrguzzofatos; Cortes de justiça, em qualquer país sério, têm a função de revisar as sentenças dos juízes e decidir se estão de acordo com a lei. O STF do Brasil deve ser o único tribunal do mundo onde o objetivo principal é procurar nulidades nos processos penais contra corruptos top de linha.; 442; 4513; 17545; 201; https://twitter.com/jrguzzofatos/status/1305626160945156096; None; None] 
[2020-09-14 14:52:51+00:00; jrguzzofatos; @Jrodrigues1954 Caríssimo JOSÉ RODRIGUES  Muito obrigado pela solicitação !!! Fico muito gratificado. Assim que possível, vou tentar ... Abração; 2; 8; 54; 0; https://twitter.com/jrguzzofatos/status/1305519889633947648; None; None] 
[2020-09-14 14:37:00+00:00; jrguzzofatos; Lula está se mostrando seguro q suas condenações serão anuladas e sua ficha ficará limpa p/ concorrer em 2022. Pelo jeito com q o STF está vendo as coisas, o culpado é o juiz Moro. Ou seja: roubaram como nunca no governo Lula, mas Lula ñ tem culpa de nada https://t.co/6HuJXVrMB8; 241; 1635; 6373; 65; https://twitter.com/jrguzzofatos/status/1305515899374448640; None; None] 
[2020-09-12 16:38:38+00:00; jrguzzofatos; @fabiolealf @LRobertoBarroso @jairbolsonaro Prezado FABIO Respeito muito a sua opinião, e tomei nota do que vc disse. O artigo não nega os fatos apontados por vc. Apenas se refere a outros, que são igualmente verdadeiros. Grato e um abraço; 1; 0; 29; 0; https://twitter.com/jrguzzofatos/status/1304821735263436802; None; None] 
[2020-09-11 22:19:16+00:00; jrguzzofatos; Bolsonaro pode ser um presidente ótimo, bom, médio, ruim ou péssimo, dependendo do lado em que você está. O que ele não é, com certeza, é um ditador; não existe no mundo nenhum ditador que tenha sido eleito por 58 milhões de votos em eleições democráticas https://t.co/4oOTjpXmq0; 543; 3246; 13124; 179; https://twitter.com/jrguzzofatos/status/1304545068066508805; None; None] 
[2020-09-09 13:38:43+00:00; jrguzzofatos; @dijardel @revistaoeste Caro Djardel Respeito muito a sua opinião, mas gostaria de observar o seguinte: acho que o supremo tribunal deveria simplesmente ignorar petições sem pé nem cabeça. Abração ! G.; 2; 4; 44; 0; https://twitter.com/jrguzzofatos/status/1303689292166950912; None; None] 
[2020-09-04 22:50:55+00:00; jrguzzofatos; @LucianaACBarros Aê Luciana, beleza ... 🥰🥰🥰; 0; 1; 21; 0; https://twitter.com/jrguzzofatos/status/1302016319806746624; None; None] 
[2020-09-04 17:19:37+00:00; jrguzzofatos; Nos EUA as coisas estão assim: se 1 policial branco atira num homem negro, ñ importa o motivo, o “movimento antirracista”, q no momento opera sob a marca “Black Lives Matter”, começa a tocar fogo nas cidades e exigir q o orçamento das polícias seja cortado https://t.co/ywhpizGkJa; 63; 303; 1369; 14; https://twitter.com/jrguzzofatos/status/1301932946958495744; None; None] 
[2020-09-03 15:00:50+00:00; jrguzzofatos; @nadia1monteiro Cara NADIA É o que estão tentando, o tempo todo ... A última coisa de que querem ouvir falar é eleição. 🥰🥰🥰; 5; 12; 90; 0; https://twitter.com/jrguzzofatos/status/1301535632720834560; None; None] 
[2020-09-03 14:58:11+00:00; jrguzzofatos; @nadia1monteiro Cara NADIA É o que estão tentando, todo dia ... A última coisa de que querem ouvir falar é eleição...; 1; 4; 38; 0; https://twitter.com/jrguzzofatos/status/1301534966300520448; None; None] 
