[2017-12-28 19:05:26+00:00; claudioedantas; CONFIRA A ÍNTEGRA DA DECISÃO DA CÁRMEN LÚCIA SOBRE O INDULTO https://t.co/5a8kkyruQl; 2; 24; 59; 2; https://twitter.com/claudioedantas/status/946457076913623041; None; None]
[2017-12-28 19:04:51+00:00; claudioedantas; CÁRMEN LÚCIA SOBRE INDULTO: “APARENTE DESVIO DE FINALIDADE” https://t.co/A9dCBqigki; 4; 22; 49; 3; https://twitter.com/claudioedantas/status/946456933812310016; None; None]
[2017-12-28 18:50:52+00:00; claudioedantas; EXCLUSIVO: DECISÃO DE CÁRMEN SUSPENDE INDULTO NATALINO DE TEMER https://t.co/nPyzSCZPe9; 25; 150; 369; 19; https://twitter.com/claudioedantas/status/946453413793058818; None; None]
[2017-12-28 18:29:56+00:00; claudioedantas; URGENTE: CÁRMEN LÚCIA SUSPENDERÁ INDULTO DE TEMER https://t.co/5MaJy3LGfC; 11; 27; 107; 3; https://twitter.com/claudioedantas/status/946448143205437440; None; None]
[2017-12-28 16:23:05+00:00; claudioedantas; A verdade (de Temer) sobre o indulto https://t.co/G7AxtRbwtH; 3; 7; 20; 0; https://twitter.com/claudioedantas/status/946416222387699712; None; None]
[2017-12-28 16:21:32+00:00; claudioedantas; Janot elogia ação de sua sucessora contra o indulto https://t.co/bS8XLNIYJZ; 7; 14; 60; 1; https://twitter.com/claudioedantas/status/946415830438502401; None; None]
[2017-12-28 15:25:49+00:00; claudioedantas; Barroso: “Fiz a minha parte, mas o sistema é um desastre de leniente” https://t.co/9vNTX9SwvP; 2; 4; 23; 1; https://twitter.com/claudioedantas/status/946401809773494282; None; None]
[2017-12-28 15:22:45+00:00; claudioedantas; Em nota, Marun diz que vai “dialogar de forma especial” com quem é beneficiado pelo governo https://t.co/Zjo5CYbcIy; 0; 2; 7; 1; https://twitter.com/claudioedantas/status/946401037933477889; None; None]
[2017-12-28 15:04:42+00:00; claudioedantas; A dancinha do diplomata venezuelano no Brasil https://t.co/BwWjEttRH2; 1; 8; 19; 1; https://twitter.com/claudioedantas/status/946396494793510912; None; None]
[2017-12-28 14:06:25+00:00; claudioedantas; A “revolução do pernil” na Venezuela https://t.co/UogET81KEZ; 2; 2; 10; 0; https://twitter.com/claudioedantas/status/946381827664699392; None; None]
[2017-12-28 13:20:33+00:00; claudioedantas; Maduro calou 69 veículos de imprensa em 2017 https://t.co/HTsc2R7PHq; 5; 23; 45; 0; https://twitter.com/claudioedantas/status/946370287427309568; None; None]
[2017-12-28 12:35:39+00:00; claudioedantas; TCU mela esquema de Valdemar na Pampulha https://t.co/TvIrhCiUwU; 0; 1; 13; 0; https://twitter.com/claudioedantas/status/946358985732521984; None; None]
[2017-12-28 12:35:12+00:00; claudioedantas; CGU identifica contratos irregulares no Ministério do Trabalho https://t.co/cTLb9QPgvx; 1; 1; 6; 0; https://twitter.com/claudioedantas/status/946358874356973569; None; None]
[2017-12-28 12:34:50+00:00; claudioedantas; MDB x MDB https://t.co/78cTBPsEYF; 1; 2; 7; 0; https://twitter.com/claudioedantas/status/946358780962500608; None; None]
[2017-12-28 12:34:27+00:00; claudioedantas; “Temer demonstrou onde é capaz de chegar”, diz procurador https://t.co/DdBxVFpfS7; 2; 32; 55; 1; https://twitter.com/claudioedantas/status/946358683054825472; None; None]
[2017-12-28 12:33:35+00:00; claudioedantas; STF vai trocar carpete https://t.co/hrJQOj8L3a; 1; 3; 10; 1; https://twitter.com/claudioedantas/status/946358465315987457; None; None]
[2017-12-28 12:31:57+00:00; claudioedantas; Tucanos subestimam Bolsonaro, diz cientista político https://t.co/WRPBqYHKdl; 1; 1; 6; 1; https://twitter.com/claudioedantas/status/946358056467750914; None; None]
[2017-12-28 12:31:37+00:00; claudioedantas; Ano novo, tarifa nova https://t.co/d4Rx5FbBbf; 0; 1; 4; 0; https://twitter.com/claudioedantas/status/946357973332451328; None; None]
