[2020-11-23 18:41:41+00:00; RenanSantosMBL; Importante artigo do Renato provando que a tese de lançar candidatura majoritária não significa proporcional eleito.  https://t.co/8XsObyOPYU; 4; 3; 81; 0; https://twitter.com/RenanSantosMBL/status/1330944626900000773; None; None]
[2020-11-23 04:30:15+00:00; RenanSantosMBL; Atenção, pessoal, tá liberado chamar vereadora de prostituta se você for de esquerda!; 17; 52; 1012; 5; https://twitter.com/RenanSantosMBL/status/1330730357566672898; None; None]
[2020-11-23 04:15:03+00:00; RenanSantosMBL; Só pra registro: piada é piada né? Mas quem acha que “humor deve obedecer cartilha” não tem direito de pedir “humor livre”.  Repito: porta dos fundos é lixo.; 16; 22; 562; 5; https://twitter.com/RenanSantosMBL/status/1330726530285232128; None; None]
[2020-11-23 04:13:27+00:00; RenanSantosMBL; Pessoal, parece que a vereadora do Novo alvo de piada do Porta dos Fundos foi chamada pro Roda Viva, o Felipe Neto denunciou machismo, Emicida defendeu a “mana” e os jornalistas da folha prepararam série de matérias.  Mentira, ela tem mais é que se fo#%R pois não é de esquerda!; 13; 31; 646; 1; https://twitter.com/RenanSantosMBL/status/1330726130349912064; None; None]
[2020-11-22 21:39:27+00:00; RenanSantosMBL; @aguedescartoon Cuidado... ele é um gênio das redes. Com ctz sabe de algo que vc não compreende; 1; 0; 109; 0; https://twitter.com/RenanSantosMBL/status/1330626976521084936; None; None]
[2020-11-22 21:38:14+00:00; RenanSantosMBL; Quer entender o xilique do ixpertinho? Assista no vídeo!  FELIPE NETO SENTIU MUITO! https://t.co/UMkUegidIY via @YouTube; 11; 7; 187; 1; https://twitter.com/RenanSantosMBL/status/1330626669191815173; None; None]
[2020-11-22 18:32:50+00:00; RenanSantosMBL; O MBL sempre “acabou” e “já era”, mas nego insiste em falar da gente faça chuva ou faça sol. Puta morto chato esse MBL...; 42; 43; 1177; 6; https://twitter.com/RenanSantosMBL/status/1330580012207124483; None; None]
[2020-11-22 18:05:13+00:00; RenanSantosMBL; O Felipe Neto acha que é muito esperto, mas só é mais um influencer otário que caiu no velho truque de falar o que a esquerda quer pra ganhar um verniz de “sério” por parte de jornalista deslumbrado e político progressista.; 30; 33; 813; 7; https://twitter.com/RenanSantosMBL/status/1330573062383792129; None; None]
[2020-11-22 16:34:25+00:00; RenanSantosMBL; Mais @flowpdc , menos @felipeneto .; 16; 77; 1074; 4; https://twitter.com/RenanSantosMBL/status/1330550210368589827; None; None]
[2020-11-22 16:26:02+00:00; RenanSantosMBL; Felipe Neto faz parte da “esquerda roda viva”, espécie de patota politicamente correta de Twitter que foi convertida em “coisa séria” pela “imprensa profissional”.; 24; 34; 534; 2; https://twitter.com/RenanSantosMBL/status/1330548102147809280; None; None]
[2020-11-22 14:42:27+00:00; RenanSantosMBL; Felipe Neto se vende pra seus amigos de esquerda como uma espécie de “cafetão” da juventude. Quer falar com jovens? Peça pra ele.  Aparentemente, o desempenho do Arthur entre a molecada abalou o marketing desse panaca. Aí ele perdeu a linha....; 32; 61; 1149; 3; https://twitter.com/RenanSantosMBL/status/1330522035601231875; None; None]
[2020-11-22 05:18:54+00:00; RenanSantosMBL; @Firmino1984 Ele não é?; 1; 0; 5; 0; https://twitter.com/RenanSantosMBL/status/1330380210588495872; None; None]
