[2020-11-16 03:20:08+00:00; gduvivier; @southaferreira PARABENS! Você é foda, Thais. Campanha linda. Parabens pra toda a equipe :); 4; 0; 435; 0; https://twitter.com/gduvivier/status/1328175997007630338; None; None] 
[2020-11-16 03:19:17+00:00; gduvivier; Muito, mas muito feliz com isso. Tainá é gigante! Ainda vai nos dar muita alegria https://t.co/Ysr0DhDhKV; 3; 11; 1177; 2; https://twitter.com/gduvivier/status/1328175782464802816; None; https://twitter.com/tainadepaularj/status/1328170631133880323] 
[2020-11-16 03:16:18+00:00; gduvivier; @jairbolsonaro Querido vc nao elege nem vereadora https://t.co/XmrbcGd07G; 100; 76; 4426; 15; https://twitter.com/gduvivier/status/1328175033269841920; None; None] 
[2020-11-16 02:37:52+00:00; gduvivier; la vamos todos nós socar o 25 https://t.co/y7S25grhCB; 91; 67; 3388; 14; https://twitter.com/gduvivier/status/1328165359229267969; None; https://twitter.com/i_amstargirl/status/1328156461977972736] 
[2020-11-16 02:02:11+00:00; gduvivier; @mariabopp ele ta tentando emplacar esse slogan de coach desde o começo; 10; 3; 804; 0; https://twitter.com/gduvivier/status/1328156379333472257; None; None] 
[2020-11-16 00:02:55+00:00; gduvivier; 👏👏👏@pagalanxe https://t.co/p1z5kDXkKL; 16; 51; 1665; 16; https://twitter.com/gduvivier/status/1328126367196700672; None; None] 
[2020-11-15 21:37:02+00:00; gduvivier; AEEEEE https://t.co/aOn0QwtN5G; 150; 601; 22535; 122; https://twitter.com/gduvivier/status/1328089650523725829; None; None] 
[2020-11-15 13:44:02+00:00; gduvivier; ENQUADRO DO PEÇANHA - VACINA CHINESA, ROGÉRIO CENI E ELEIÇÕES! https://t.co/OgZCpJ855D; 3; 2; 115; 2; https://twitter.com/gduvivier/status/1327970616675340294; None; None] 
[2020-11-15 03:09:40+00:00; gduvivier; @caetanoveloso; 11; 4; 470; 0; https://twitter.com/gduvivier/status/1327810976419340288; None; None] 
[2020-11-15 01:06:12+00:00; gduvivier; #SAMPABOULOS https://t.co/hz2Z945nbR; 143; 697; 11400; 118; https://twitter.com/gduvivier/status/1327779902859468800; None; None] 
[2020-11-14 23:58:09+00:00; gduvivier; a vó tá on: BENÉ 13! #benedita13 https://t.co/6mDBf7Gbec; 233; 732; 11874; 248; https://twitter.com/gduvivier/status/1327762776979353602; None; None] 
[2020-11-14 23:51:30+00:00; gduvivier; #Boulos50 https://t.co/lOsM17SF7u; 180; 536; 17880; 191; https://twitter.com/gduvivier/status/1327761103523373057; None; None] 
[2020-11-14 23:46:12+00:00; gduvivier; Boulos consolidou! De celtinha, este domingo é 50 confirma na urna! #ViraSP50 #BoulosNoSegundoTurno   https://t.co/8FMWouS8Xm; 117; 181; 4774; 44; https://twitter.com/gduvivier/status/1327759771500425217; None; None] 
