[2017-11-17 17:42:16+00:00; malugaspar; @iSenna @pensoestranho tem razão, ta errado. vou tirar; 0; 0; 0; 0; https://twitter.com/malugaspar/status/931578244557656064; None; None]
[2017-11-17 17:40:29+00:00; malugaspar; @iSenna @pensoestranho Ué, tô vendo nele. É esse? https://t.co/7o6VMHsmjW; 0; 0; 0; 0; https://twitter.com/malugaspar/status/931577799135113217; None; None]
[2017-11-17 17:39:52+00:00; malugaspar; @Cecillia Tia Lucinha, do PSDB; 0; 0; 0; 0; https://twitter.com/malugaspar/status/931577643144810496; None; None]
[2017-11-16 17:40:59+00:00; malugaspar; @veramagalhaes Eô!!! Timão!!!; 0; 0; 2; 0; https://twitter.com/malugaspar/status/931215533910953985; None; None]
[2017-11-16 17:39:55+00:00; malugaspar; TRF-2 dando lição no STF. A ver o que fará a Alerj (desconfio que já sei...) https://t.co/WlejeB558f; 0; 5; 15; 0; https://twitter.com/malugaspar/status/931215266326839296; None; None]
[2017-11-16 01:31:47+00:00; malugaspar; Só tenho a dizer uma coisa: É Campeão!!!!; 1; 1; 10; 0; https://twitter.com/malugaspar/status/930971629647261696; None; None]
[2017-11-15 21:30:15+00:00; malugaspar; @digo_viana valeu, brigada!; 0; 0; 0; 0; https://twitter.com/malugaspar/status/930910842719260672; None; None]
[2017-11-14 19:33:04+00:00; malugaspar; @brunobn88 brigada! Continue lendo!; 0; 0; 0; 0; https://twitter.com/malugaspar/status/930518967076212737; None; None]
[2017-11-14 11:04:42+00:00; malugaspar; Felipe Picciani, filho-empresário de Jorge Picciani, me contou nesse perfil sobre os negócios da família com gado -- sob investigação na operação de hoje https://t.co/dnPerj7umw; 5; 28; 83; 7; https://twitter.com/malugaspar/status/930391032289734657; None; https://twitter.com/revistapiaui/status/930390128668880896]
[2017-11-13 19:41:11+00:00; malugaspar; Benfica Fashion Club https://t.co/gbKvkMqlwm; 0; 0; 3; 0; https://twitter.com/malugaspar/status/930158622591586304; None; https://twitter.com/bbcbrasil/status/930155961481916417]
[2017-11-13 19:39:36+00:00; malugaspar; Será que esse desembarque é pra valer? https://t.co/e22M6LaR9k; 1; 0; 3; 0; https://twitter.com/malugaspar/status/930158222652166144; None; https://twitter.com/folha/status/930157579589902336]
[2017-11-10 18:08:56+00:00; malugaspar; Mais um "tem de ler"- "Está em curso o que chamamos de "defesa legal da corrupção sistêmica", apressada para ser encoberta pelo manto diáfano das eleições de 2018."  https://t.co/tIKUGzWyY2; 0; 4; 14; 1; https://twitter.com/malugaspar/status/929048244226805761; None; None]
[2017-11-10 18:04:34+00:00; malugaspar; Um encontro pleno de signficado https://t.co/zQIXEhYBq8; 0; 3; 3; 0; https://twitter.com/malugaspar/status/929047143243010048; None; https://twitter.com/folha_poder/status/928843169319604224]
[2017-11-10 12:01:25+00:00; malugaspar; Do "tem de ler" de hoje 👇🏻👇🏻👇🏻, de Aécio e seu delírio. https://t.co/ymzKpbBZvc; 1; 1; 8; 0; https://twitter.com/malugaspar/status/928955754765344768; None; https://twitter.com/miriamleitao/status/928933830395822080]
[2017-11-10 11:58:59+00:00; malugaspar; Meirelles terá de provar que não pensa só em si, escreve Rodrigo de Almeida https://t.co/ppzjOZimty via @Poder360; 0; 0; 1; 0; https://twitter.com/malugaspar/status/928955140387860480; None; None]
[2017-11-09 11:21:59+00:00; malugaspar; Os jornalistas, esses chatos, by @zerotoledo https://t.co/qr3MaTpbCv; 0; 1; 7; 0; https://twitter.com/malugaspar/status/928583443373535233; None; None]
[2017-11-08 22:17:10+00:00; malugaspar; @ReverendaReal @blogdojefferson Lívia!! Que bom te ver por aqui! Grande 😘!!; 0; 0; 1; 0; https://twitter.com/malugaspar/status/928385937515610113; None; None]
[2017-11-08 19:17:11+00:00; malugaspar; Inacreditável https://t.co/8xKMwlrad0; 1; 2; 7; 0; https://twitter.com/malugaspar/status/928340641918177280; None; https://twitter.com/drunkeynesian/status/928340295774642176]
[2017-11-08 19:15:43+00:00; malugaspar; @botts1974 valeu!!!!; 1; 0; 1; 0; https://twitter.com/malugaspar/status/928340272743964673; None; None]
[2017-11-07 19:25:24+00:00; malugaspar; https://t.co/8YApcAY6CJ; 6; 8; 36; 1; https://twitter.com/malugaspar/status/927980320644886528; None; None]
[2017-11-07 15:10:28+00:00; malugaspar; Paga 10 bi em multas por corrupção, mas ganha perdão em impostos. E adere à um Refis na prorrogação dada de última hora pelo governo. 🤔🤔🤔 https://t.co/ZbOIDrmov8; 15; 139; 231; 5; https://twitter.com/malugaspar/status/927916167532040192; None; https://twitter.com/beckmartha/status/927912770892419073]
[2017-11-07 11:55:39+00:00; malugaspar; Aos poucos vai avançando: https://t.co/OxhLgB6FIW; 0; 1; 4; 0; https://twitter.com/malugaspar/status/927867137401786368; None; None]
[2017-11-06 22:04:48+00:00; malugaspar; @botts1974 @revistapiaui farei como ele: só respondo em 2018! 😜; 1; 0; 1; 0; https://twitter.com/malugaspar/status/927658046687412224; None; None]
[2017-11-06 22:04:01+00:00; malugaspar; @igorteixeira @revistapiaui deu não... fechou  na última semana de outubro!; 1; 0; 1; 0; https://twitter.com/malugaspar/status/927657851111268352; None; None]
[2017-11-06 20:14:21+00:00; malugaspar; @revistapiaui Vendo a cena, lembrei de um artigo do International Herald Tribune que o definiu como "um homem de muitas palavras,  mas poucas respostas"; 0; 1; 5; 0; https://twitter.com/malugaspar/status/927630253492785152; None; None]
[2017-11-06 20:12:58+00:00; malugaspar; @revistapiaui Numa entrevista coletiva em NY, ele respondeu a cinco perguntas sobre o assunto sem confirmar nem desmentir a candidatura presidenciável.; 2; 1; 5; 0; https://twitter.com/malugaspar/status/927629905046720513; None; None]
[2017-11-06 20:07:18+00:00; malugaspar; Não é a 1a vez que o ministro Meirelles dá declarações desencontradas sobre candidatura. No perfil para a @revistapiaui, falo sobre isso:; 2; 1; 19; 0; https://twitter.com/malugaspar/status/927628479620894720; None; None]
[2017-11-06 14:28:49+00:00; malugaspar; Mais um "tem de ler": https://t.co/hlyH6eiOQQ; 2; 1; 6; 0; https://twitter.com/malugaspar/status/927543296460754944; None; https://twitter.com/NPTO/status/927406638566436864]
[2017-11-06 14:26:00+00:00; malugaspar; Tem de ler hoje, para entender os Paradise Papers:   https://t.co/hkZZujKFNE; 0; 0; 10; 0; https://twitter.com/malugaspar/status/927542587577327617; None; None]
[2017-11-06 14:16:57+00:00; malugaspar; Antes tarde do que nunca, a Lava Jato chega às agências de publicidade. Mas falta gente aí... https://t.co/JEuoXkXoNH; 1; 2; 9; 0; https://twitter.com/malugaspar/status/927540309105500161; None; https://twitter.com/OGloboPolitica/status/927476943313952769]
[2017-11-05 20:10:13+00:00; malugaspar; A offshore do ministro Meirelles se chama "The Sabedoria Trust" (e foi declarada ao IR) https://t.co/DwQ69iRCFg; 1; 4; 11; 2; https://twitter.com/malugaspar/status/927266825280393223; None; https://twitter.com/UOL/status/927256796456214528]
[2017-11-05 19:40:26+00:00; malugaspar; é verdade, faltou considerar o fator Gilmar Mendes.... https://t.co/Z88YUEl3kO; 0; 0; 7; 0; https://twitter.com/malugaspar/status/927259330113622016; None; https://twitter.com/fabriciosgomes/status/927259051943190529]
[2017-11-05 19:38:04+00:00; malugaspar; Pelo jeito, o final de ano vai ser animado na Lava Jato.... https://t.co/4Hxd9fXhRj; 0; 4; 4; 0; https://twitter.com/malugaspar/status/927258734186942465; None; https://twitter.com/OGloboPolitica/status/927151083817971712]
[2017-11-05 19:36:48+00:00; malugaspar; Se eu fosse um dos delatados (e estivesse solto), começava a preparar a malinha pra cadeia. Quando uma delação vaza, é que vem operação aí https://t.co/6Rk2OuvKca; 3; 5; 25; 1; https://twitter.com/malugaspar/status/927258416397119489; None; https://twitter.com/OGloboPolitica/status/927183770817622016]
