2019-06-04 21:55:28+00:00; GabrielaPrioli; @SF_Moro Só aumenta a margem de lucro do traficante que manteve a produção, pq a redução da oferta aumenta o preço do produto no varejo. Destruir a plantação não diminui a demanda, ministro. Ou seja, melhora nada.; 23; 1; 1; 0; https://twitter.com/GabrielaPrioli/status/1136028721821954050; None; None
2019-05-07 20:46:37+00:00; GabrielaPrioli; Livro ótimo. Recomendo. https://t.co/2VHAceWAeh; 37; 4; 1; 1; https://twitter.com/GabrielaPrioli/status/1125864536530092035; None; None
2019-04-13 16:28:33+00:00; GabrielaPrioli; O desafio do dia é: colocar na mesma frase “governo segura o aumento no diesel” e “economia liberal”. Valendo!; 6; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1117102280673845248; None; None
2019-04-12 14:39:47+00:00; GabrielaPrioli; @gorodrigogo Ahahahahhahahaha; 0; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1116712524026667008; None; None
2019-04-12 14:07:14+00:00; GabrielaPrioli; @palmeira_monica @DaniloGentili Só pra deixar claro: o que é abuso, no meu ponto de vista, na sentença do Danilo é só a PENA.; 1; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1116704332001480704; None; None
2019-04-12 14:06:15+00:00; GabrielaPrioli; Cadê a piada? Discurso com o único objetivo de ofender, travestido de humor, não pode.; 4; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1116704082893398016; None; None
2019-04-12 14:05:43+00:00; GabrielaPrioli; Aí depois de receber uma notificação para retirar os posts do ar, ele faz o auê de esfregar a notificação nas suas partes íntimas e chama a vítima de “puta”.; 3; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1116703949812322304; None; None
2019-04-12 14:05:28+00:00; GabrielaPrioli; Já já a MR aparece no rádio falando que cuspir na cara de uma mulher no Nordeste é sinal de respeito. Nojenta pra caralho.; 2; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1116703884267880449; None; None
2019-04-12 14:05:11+00:00; GabrielaPrioli; Aí ela chama o cara de estuprador, toma empurrão e da chilique. Falsa e cínica pra caralho.; 2; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1116703816915800064; None; None
2019-04-12 14:04:53+00:00; GabrielaPrioli; Quando alguém cuspir em você, devolva com um soco que a MR aprova. Cuspir nela quando ela o chamar de estuprador também.; 2; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1116703741435052034; None; None
2019-04-12 14:04:27+00:00; GabrielaPrioli; Entrando agora no mérito: a condenação (e não a pena) do Danilo Gentili é correta, a meu ver. Não houve piada. Vou comentar com o conteúdo das ofensas e quem achar a piada, por favor me aponte!; 8; 4; 0; 0; https://twitter.com/GabrielaPrioli/status/1116703630613258240; None; None
