2019-02-17 23:33:00+00:00; LeoLins; @C_Hernandez0 vlw carol; 1; 0; 0; 0; https://twitter.com/LeoLins/status/1097277763969601536; None; None
2019-02-16 12:59:14+00:00; LeoLins; @DanielSakuraba hahH quase me deixam de Fora; 5; 0; 0; 0; https://twitter.com/LeoLins/status/1096755886746423296; None; None
2019-02-16 00:57:11+00:00; LeoLins; NITERÓI! Shows sábado (16/02) e domingo (17/02) às 19:00hs no Teatro Abel. Link para ingressos nos comments. https://t.co/7VgQhlnjIs; 42; 6; 2; 0; https://twitter.com/LeoLins/status/1096574176666759168; None; None
2019-02-15 17:46:04+00:00; LeoLins; @weltmam vlwwwww; 0; 0; 0; 0; https://twitter.com/LeoLins/status/1096465680554254336; None; None
2019-02-14 21:02:02+00:00; LeoLins; #tbt https://t.co/P5lRCGXvic; 18; 1; 3; 0; https://twitter.com/LeoLins/status/1096152610560716801; None; None
2019-02-13 13:00:09+00:00; LeoLins; A verdadeira história de Petrolina em breve to ai! https://t.co/szIqL8jQSt; 32; 2; 1; 0; https://twitter.com/LeoLins/status/1095668950938107905; None; None
2019-02-12 16:12:13+00:00; LeoLins; A verdadeira história de SÃO GONÇALO. sabado às 19:00 teatro Abel - 60% ingressos vendidos domingo às 19:00 teatro Abel - 35%ingressos vendidos Espero vcs de Sai Gon la no teatro https://t.co/NaPpam9DMl; 49; 2; 6; 2; https://twitter.com/LeoLins/status/1095354901729808384; None; None
2019-02-11 23:55:17+00:00; LeoLins; https://t.co/EJUwLzezMN; 17; 1; 0; 0; https://twitter.com/LeoLins/status/1095109048515608578; None; None
2019-02-11 22:40:13+00:00; LeoLins; https://t.co/TNpa4mewaR; 22; 3; 2; 0; https://twitter.com/LeoLins/status/1095090154438623238; None; None
2019-02-08 16:38:03+00:00; LeoLins; A verdadeira história de Niterói https://t.co/gDnlUztJA5; 58; 8; 6; 2; https://twitter.com/LeoLins/status/1093911850637512705; None; None
2019-02-07 00:24:04+00:00; LeoLins; I posted a new video to Facebook https://t.co/FoV38upz6X; 63; 11; 4; 0; https://twitter.com/LeoLins/status/1093304348795432960; None; None
2019-01-25 00:13:32+00:00; LeoLins; https://t.co/sIbl2uzHBw; 37; 4; 4; 0; https://twitter.com/LeoLins/status/1088590656992395265; None; None
2019-01-22 15:45:14+00:00; LeoLins; https://t.co/dPRviAyuXx; 19; 1; 2; 0; https://twitter.com/LeoLins/status/1087737964623548416; None; None
2019-01-19 05:45:08+00:00; LeoLins; @YuriSanderson nao vale; 506; 21; 4; 1; https://twitter.com/LeoLins/status/1086499779943772161; None; None
2019-01-17 20:54:34+00:00; LeoLins; Já que a pauta do momento é a Melody, vale a pena relembrar essa sequência de piadas que fiz na #RodadaDaNoite #TBT https://t.co/5nzgf2NBxe; 103; 7; 5; 0; https://twitter.com/LeoLins/status/1086003870097162240; None; None
2019-01-12 20:03:11+00:00; LeoLins; Câmera normal / Câmera frontal https://t.co/0Jh7TkP86c; 32; 6; 1; 0; https://twitter.com/LeoLins/status/1084179002259132417; None; None
2019-01-10 20:18:35+00:00; LeoLins; #tbt #rodadadanoite https://t.co/nKxKO1AFub; 23; 0; 1; 0; https://twitter.com/LeoLins/status/1083458101691510789; None; None
2019-01-04 19:27:07+00:00; LeoLins; Deixo vcs com esse enigma https://t.co/Ba7qh0ciTq; 932; 28; 68; 4; https://twitter.com/LeoLins/status/1081270819739914246; None; None
2019-01-02 17:23:58+00:00; LeoLins; Já joguei Twister com o presidente do Brasil. https://t.co/zIEosao8Bi; 344; 15; 17; 7; https://twitter.com/LeoLins/status/1080515053542141954; None; None
2019-01-01 23:35:59+00:00; LeoLins; Essa e muitas outras em Piadas Secretas no Netflix. https://t.co/8DbO1GeJnr; 95; 5; 4; 0; https://twitter.com/LeoLins/status/1080246287159738368; None; None 
