[2020-12-01 20:14:30+00:00; felipeneto; @Olhar_Olimpico Nossa, por essa eu não esperava. Aquela polpa de ignorância é jornalista?; 7; 0; 227; 2; https://twitter.com/felipeneto/status/1333867089183068162; None; None] 
[2020-12-01 20:13:00+00:00; felipeneto; @lauraabcarvalho Bora marcar!; 5; 0; 339; 0; https://twitter.com/felipeneto/status/1333866708470288388; None; None] 
[2020-12-01 19:31:34+00:00; felipeneto; Eu sou a favor de, assim q acabar a pandemia, a gente fazer um evento chamado “The Tratores”, com todos os nomes da lista de monitoramento do Governo Federal convidados.  A gente usa umas túnicas e máscaras pra parecer sociedade secreta e deixar os amantes do Olavo ENLOUQUECIDOS.; 406; 237; 13902; 93; https://twitter.com/felipeneto/status/1333856283313795073; None; None] 
[2020-12-01 19:28:27+00:00; felipeneto; @EmersonAnomia Deixa pra lá Emerson... Obrigado ❤️; 5; 1; 305; 0; https://twitter.com/felipeneto/status/1333855501214511106; None; None] 
[2020-12-01 19:12:51+00:00; felipeneto; @livialaranjeira 00:58 é considerado como o tempo de desaparecimento nos portais, por isso a estimativa de 3h (errei ao falar 4, corrigi dps pra 3). Mas que sejam 3 ou 2:30 ou 2:45, minha crítica continua sendo outra. Não foi à cobertura, foi às condições dadas para q vcs trabalhem.; 16; 0; 69; 2; https://twitter.com/felipeneto/status/1333851574385438721; None; None] 
[2020-12-01 19:02:29+00:00; felipeneto; @livialaranjeira 3h45 foram 3 horas depois e não "2h30 depois da queda da aeronave".  De novo: em nenhum momento eu quis direcionar a crítica aos plantonistas e jornalistas em geral, mas sim ao sucateamento das redações e redução de custos para maximizar os lucros de empresas bilionárias.; 11; 0; 39; 7; https://twitter.com/felipeneto/status/1333848965981278213; None; None] 
[2020-12-01 18:36:46+00:00; felipeneto; Nova foto de perfil. https://t.co/ffWTWnxtfo; 1176; 359; 26759; 473; https://twitter.com/felipeneto/status/1333842493444661252; None; None] 
[2020-12-01 18:28:48+00:00; felipeneto; @lauranaime @jvfcastanheira Concordo total, por isso eu falo exaustivamente para que assinem os veículos ;)  E desculpe por dar a entender q minha crítica era para a cobertura, eu queria falar do sucateamento das redações, das demissões em massa e da pouca estrutura pros plantonistas.; 3; 1; 95; 0; https://twitter.com/felipeneto/status/1333840489829830657; None; None] 
[2020-12-01 18:19:42+00:00; felipeneto; Como eu fui classificado pela equipe do Paulo Guedes como um DETRATOR na lista de 81 pessoas a serem "monitoradas de perto", eu apresento:  Felipe Neto Detrator.  #TheTratores https://t.co/76jCvppN7V; 710; 690; 21452; 320; https://twitter.com/felipeneto/status/1333838196547915778; None; None] 
[2020-12-01 17:48:17+00:00; felipeneto; Olha Paulo Guedes, gastar R$2,7 milhões pra montar uma lista de “detratores a serem monitorados” e não incluir a @nilmoretto é a prova de como vcs não sabem gastar dinheiro.  Um moleque de 15 anos faria uma planilha de Excel melhor e mais completa por R$30 e crédito na Steam.; 278; 462; 15237; 111; https://twitter.com/felipeneto/status/1333830292264595457; None; None] 
[2020-12-01 17:22:39+00:00; felipeneto; É com muito orgulho que informo que eu estou numa lista oficial de "detratores" montada pelo governo brasileiro, liderado pelo senhor Paulo Guedes.  E eles gastaram R$2,7 MILHÕES pra essa presepada.  Segundo eles, estamos sendo "monitorados".  https://t.co/x6Am8BV3YV; 834; 500; 12063; 329; https://twitter.com/felipeneto/status/1333823840699510786; None; None] 
[2020-12-01 17:08:14+00:00; felipeneto; @marcofeitor @marianaspinelIi Que bobajada, eu peço desculpas o tempo todo qnd vejo q falei algo errado.  Acabei de pedir desculpas por ter expressado algo q não queria expressar, nesse caso. Mas minha crítica se mantém: as gigantes da indústria precisam investir mais em plantonistas.; 5; 0; 54; 1; https://twitter.com/felipeneto/status/1333820213985497089; None; None] 
[2020-12-01 06:37:04+00:00; felipeneto; Palmas para o @RenanPeixoto_ que começou a cobrir os acontecimentos de Criciúma imediatamente aqui no twitter e movimentou as coisas na GloboNews.  Tb pra todos os jornalistas locais q se arriscaram pra levar informação pra população.; 160; 157; 8676; 21; https://twitter.com/felipeneto/status/1333661373319024640; None; None] 
[2020-12-01 06:29:50+00:00; felipeneto; @EnergyLiberal 3 caras invadem tua casa de fuzil.  Tu tira a pistola do cofre, amigo?; 116; 6; 410; 45; https://twitter.com/felipeneto/status/1333659552882053121; None; None] 
[2020-12-01 06:26:47+00:00; felipeneto; Ah perdão, os armamentistas tão alegando que a população não deveria ter pistolas não, deveria ter armas do mesmo calibre dos bandidos de Criciúma.  Eu retiro o que disse. Não é imbecil. É vagabundo maldito desgraçado, mesmo.; 566; 281; 13840; 114; https://twitter.com/felipeneto/status/1333658785760555009; None; None] 
[2020-12-01 06:22:52+00:00; felipeneto; Tem que ser um completo de um IMBECIL pra achar q se a população de Criciúma tivesse pistolas em casa, isso não teria acontecido.  I-M-B-E-C-I-L; 1510; 2573; 46620; 644; https://twitter.com/felipeneto/status/1333657800917069824; None; None] 
[2020-12-01 05:56:30+00:00; felipeneto; Era nisso q eu queria chegar. https://t.co/AnW6EfSP3O; 67; 44; 3515; 14; https://twitter.com/felipeneto/status/1333651164324356096; None; https://twitter.com/jvfcastanheira/status/1333648059209834498] 
[2020-12-01 05:45:02+00:00; felipeneto; @jvfcastanheira ISSO!  Finalmente alguém q não levou pro pessoal e fez uma leitura da situação.  O jornalismo é a vítima aqui.; 29; 6; 1110; 9; https://twitter.com/felipeneto/status/1333648281428234243; None; None] 
[2020-12-01 05:20:59+00:00; felipeneto; Gente, os caras colocaram fogo no túnel que conecta Tubarão e Criciúma, pra impedir q as forças policiais de Tubarão fossem dar reforço.  Esse nível de planejamento é hollywoodiano, tem q conseguir pegar esses caras.  Há relatos de q eles já fizeram isso em outras cidades menores; 697; 1203; 30098; 510; https://twitter.com/felipeneto/status/1333642225419505666; None; None] 
