2020-08-13 02:44:23+00:00; danilogentili; Um programa porcaria desses só poderia atrair esse público desqualificado. Sinceramente, esse é o nível da mídia brasileira. Eu estou tendo problemas de retenção de líquidos devido a pandemia, e isso é um assunto sério de saúde, não deveria estar sendo levado dessa maneira leviana por esse monte de vagabundo. Seu programa é uma porcaria @diguinhocoruja; 16922; 733; ; ; https://www.instagram.com/p/CD0Cc7KHHOH/
2020-08-12 17:01:23+00:00; danilogentili; Fred, Jack(son) e Túlio dos @osexterminadoresdoalem desenhado por @klebsjunior e colorido por @reinaldoroc ! Top demais! E no Halloween estréia a série no @warnerchannelbrasil; 24811; 299; ; ; https://www.instagram.com/p/CDzADaUnU1O/
2020-08-10 18:30:48+00:00; danilogentili; Valeu pelo presente @renan.artes - mas você podia ter feito a rola maior. Abraços.; 63473; 1242; ; ; https://www.instagram.com/p/CDuAsg6ncPe/
2020-08-07 00:25:48+00:00; danilogentili; Ação, suspense, atuações primorosas, efeitos especiais arrebatadores e muita gordofobia. Escrevi, dirigi, filmei e editei essa grande obra-prima do cinema mundial que hoje completa 13 anos. Filmado no Curuça em #santoandre - Estrelando @rogeriomorgado #tbt; 28142; 581; ; ; https://www.instagram.com/p/CDkWJG4HCmv/
2020-08-06 15:50:23+00:00; danilogentili; Hoje tem @mcnegaodabl no The Noite.; 91224; 1235; ; ; https://www.instagram.com/p/CDjbKH0jMbs/
2020-08-03 20:46:49+00:00; danilogentili; None; 155032; 4950; ; ; https://www.instagram.com/p/CDcOsnvH_pz/
2020-08-01 20:27:18+00:00; danilogentili; Muito feliz em finalmente poder revelar uma paixão antiga. Desculpa @kleineguitar 🐷💚; 79761; 3423; ; ; https://www.instagram.com/p/CDXC4A6HwqA/
2020-07-29 01:31:29+00:00; danilogentili; Foi realmente uma agradável tarde ao lado desse distinto cavalheiro. Descanse em paz, Rodrigo.; 58234; 634; ; ; https://www.instagram.com/p/CDNSE3NHpfI/
2020-07-28 16:19:19+00:00; danilogentili; Nesse dia ficamos contando no relógio a hora certa para não nos atrasarmos para o chá das cinco. Ele me levou nesse tradicional lugar londrino porque eu disse pra ele que eu sempre quis muito tomar chá das 5 em Londres. Quando deu cinco horas brindamos o chá e ele bateu essa foto. Tomar chá das cinco em Londres era uma das xaropadas que eu queria muito fazer antes de morrer, e fiz graças a esse cara. Um bom momento que me fará lembrar sempre desse bom amigo. Estou muito triste por sua morte hoje. Eu era fã do seu trabalho. Descanse em paz, Rodrigo Rodrigues. Fará muita falta. Deus conforte a sua família.; 181537; 1541; ; ; https://www.instagram.com/p/CDMTUKKnx50/
2020-07-25 16:30:01+00:00; danilogentili; ; 61703; 1029; ; ; https://www.instagram.com/p/CDEmEtSHAXF/
