2020-10-23 19:53:25+00:00; eduardomoreira; Votar no PSDB pra classe alta sempre foi querer que as coisas continuassem iguais e injustas sem a coragem de assumir... E olha que já votei neles... Não existe mudança estrutural que não seja pela esquerda, mesmo sabendo que na esquerda existem aqueles que não são a mudança...; 96; 571; 6092; 71; https://twitter.com/eduardomoreira/status/1319728655665418256; None; None
2020-10-23 14:53:25+00:00; eduardomoreira; Mas na média, que é divulgada e passa no Jornal Nacional ta controlada, então tá tranquilo né... #sqn   https://t.co/Gpqd5ZX3VL; 15; 97; 646; 12; https://twitter.com/eduardomoreira/status/1319653155982987265; None; None
2020-10-20 12:35:33+00:00; eduardomoreira; Jajá, as 10, eu e Jessé estaremos na TV 247 https://t.co/5G8yuZigFh; 2; 8; 125; 0; https://twitter.com/eduardomoreira/status/1318531300513452033; None; https://twitter.com/AttuchLeonardo/status/1318529766971027456
2020-10-14 00:09:01+00:00; eduardomoreira; “Eles já são ricos, não vão usar o estado pra enriquecer...” #sqn https://t.co/kFpJcWTFxb; 30; 585; 3041; 37; https://twitter.com/eduardomoreira/status/1316169099958005761; None; None
2020-10-14 00:07:54+00:00; eduardomoreira; Live amanha imperdível!! https://t.co/cU9PecreeC; 1; 11; 131; 0; https://twitter.com/eduardomoreira/status/1316168820378267649; None; None
2020-10-13 14:46:07+00:00; eduardomoreira; “Segundo a pesquisa, para cada 10 pontos percentuais a mais de votos para Bolsonaro há um acréscimo de 11% no número de casos e de 12% no número de mortos.” Literalmente, apoiar Bolsonaro é uma ameaça a própria vida, matematicamente comprovado. https://t.co/wOVvdYG1aY; 24; 243; 1459; 16; https://twitter.com/eduardomoreira/status/1316027442771894279; None; None
2020-10-12 14:58:49+00:00; eduardomoreira; PRESENTE DE DIA DAS CRIANÇAS!!!! Em breve lançaremos no YouTube um lindo programa infantil com musicas, brincadeiras, jogos teatrais e contos da cultura popular brasileira! Ajudem a votar no nome do programa no link: https://t.co/iwAY0pFo2I https://t.co/nkRAHoFvQi; 2; 14; 89; 0; https://twitter.com/eduardomoreira/status/1315668249418387458; None; None
2020-10-02 12:50:02+00:00; eduardomoreira; Agora as 10 da manha no meu canal do YouTube vamos ter uma peça de teatro ao vivo com João Signoreli, “Ghandi, servidor da humanidade”. Em seguida debate com Marco Schultz. Hoje celebramos o nascimento de Ghandi https://t.co/Cc3Fu1TLcT; 5; 9; 87; 0; https://twitter.com/eduardomoreira/status/1312011962973409280; None; None
2020-09-30 02:41:14+00:00; eduardomoreira; “It wasn’t a debate, it was a disgrace” Do comentarista da CNN Internacional.; 16; 55; 793; 5; https://twitter.com/eduardomoreira/status/1311133977424650242; None; None
2020-09-30 02:38:57+00:00; eduardomoreira; Resumindo: quem decide se os que vivem na miséria receberão o mínimo para sobreviver com dignidade são os operadores de bolsa..: https://t.co/YUgfaV2DE6; 21; 74; 368; 3; https://twitter.com/eduardomoreira/status/1311133401991315457; None; None
2020-09-30 02:17:58+00:00; eduardomoreira; Trump é um canalha, impossível ouvir este debate e não sentir asco. Mesmo sem nutrir simpatia alguma por Biden; 39; 127; 2285; 9; https://twitter.com/eduardomoreira/status/1311128122864132098; None; None
2020-09-30 01:52:24+00:00; eduardomoreira; Trump usando a velha estratégia (que funciona). Usar repetidamente termos como “far left” e “socialist”, e citar os swing states como Ohio para os eleitores de identificarem com seu discurso; 6; 20; 312; 1; https://twitter.com/eduardomoreira/status/1311121687639883776; None; None
2020-09-30 01:40:06+00:00; eduardomoreira; Trump mostrando que vivemos a era onde “verdade” é aquilo que você fala alto, com raiva e repetidamente; 139; 2515; 22386; 154; https://twitter.com/eduardomoreira/status/1311118591018889222; None; None
2020-09-30 01:35:06+00:00; eduardomoreira; @RichardFJustin Totalmente. Não paro de pensar nisso...; 1; 0; 39; 0; https://twitter.com/eduardomoreira/status/1311117335751733250; None; None
2020-09-30 01:32:44+00:00; eduardomoreira; Trump dominando o debate, desde o primeiro minuto. Biden gaguejando, trocando números e sendo atropelado no meio das respostas sem reagir. Maiores adversários de Trump são sua arrogância e agressividade, que no nível ginasial como estão vitimizam Biden gerando empatia do público; 66; 48; 796; 5; https://twitter.com/eduardomoreira/status/1311116739942416384; None; None
2020-09-29 22:42:47+00:00; eduardomoreira; Amanhã a Live as 10 da manhã está IMPERDÍVEL!! Uma das mais brilhantes mentes do país. Nos vemos lá! https://t.co/qtapH4iiBY; 12; 33; 389; 3; https://twitter.com/eduardomoreira/status/1311073967147569154; None; None
2020-09-29 12:42:21+00:00; eduardomoreira; Converso sobre o filme O Dilema das Redes daqui a pouco, as 10:00 na TV 247  https://t.co/F6pi2qN1Y8; 2; 13; 92; 0; https://twitter.com/eduardomoreira/status/1310922863319355392; None; None
2020-09-28 16:52:05+00:00; eduardomoreira; O Ministro do Meio Ambiente, e Presidente do CONAMA, acaba de obter outra vitória na sua jornada de desproteção ambiental: revogou as Resoluções do CONAMA 302 e 303 que, entre outros bens, resguardavam nosssas restingas e manguezais. Provavelmente para ajudar as construtoras; 96; 760; 4057; 60; https://twitter.com/eduardomoreira/status/1310623323609608192; None; None
2020-09-25 11:59:51+00:00; eduardomoreira; Imagine só você fazer parte de um grupo de Facebook ou WhatsApp e quando alguém manda uma foto mostrando a floresta pegando fogo ou um animal morto pelas queimadas você imediatamente considera ele um inimigo “comunista”... significa que você se tornou um monstro e não percebeu...; 44; 437; 3669; 11; https://twitter.com/eduardomoreira/status/1309462619594600449; None; None
2020-09-24 17:10:13+00:00; eduardomoreira; A espera de um milagre...  https://t.co/fyL6LVH8SG; 8; 28; 131; 3; https://twitter.com/eduardomoreira/status/1309178336560779269; None; None
2020-09-23 21:45:23+00:00; eduardomoreira; Será que a turma sem noção que acha que se a bolsa está acima de 100 mil pontos a economia está bem já está achando que a economia está mal?; 26; 159; 1994; 9; https://twitter.com/eduardomoreira/status/1308885197321052166; None; None
2020-09-23 21:03:29+00:00; eduardomoreira; @delucca 👏🏻👏🏻👏🏻👏🏻👏🏻; 0; 1; 8; 0; https://twitter.com/eduardomoreira/status/1308874651477647361; None; None
2020-09-23 20:58:17+00:00; eduardomoreira; Só para lembrarmos qual o plano. Guedes destrói a economia, vende tudo a preço de banana para os amigos, é “demitido”, vai embora do país com informações privilegiadas para assumir uma posição bem remunerada em algum banco, e nós pagamos a conta. Parlamentares aplaudem o plano 👏🏻; 185; 2751; 12914; 154; https://twitter.com/eduardomoreira/status/1308873345581158400; None; None
