2020-08-30 15:42:31+00:00; MarcosBotelho; Olha no que se tornou nas últimas décadas a Marcha para Jesus e o movimento neopentecostal! É mais fiel a política (de baixo calão) do que a Escritura! https://t.co/nlDNzCSfBl; 17; 28; 391; 7; https://twitter.com/MarcosBotelho/status/1300096568012558336; None; None
2020-08-29 18:40:23+00:00; MarcosBotelho; Que ele ñ estava nem aí com o meio ambiente, já sabíamos, agora prova q ñ sabe fazer política. Ameaçando ao próprio governo, divulgando a carta onde piora ainda + a imagem do Brasil no mundo, mostra q o 2º lugar de pior ministro, atrás de Weintraub, é dele!https://t.co/suVK2Ku8la; 1; 3; 40; 2; https://twitter.com/MarcosBotelho/status/1299778943529222144; None; None
2020-08-29 14:13:09+00:00; MarcosBotelho; Advocacia-Geral da União sendo utilizada para blindar os crimes da família presidencial. Vergonha!!! https://t.co/CtgVOJ7PoG; 2; 0; 28; 0; https://twitter.com/MarcosBotelho/status/1299711690859307008; None; https://twitter.com/JornalOGlobo/status/1299572622989041664
2020-08-28 23:04:25+00:00; MarcosBotelho; @marquinh1o Jesus falou da auto avaliação no Cap. 6 no tema oração; 0; 0; 1; 0; https://twitter.com/MarcosBotelho/status/1299483002549010437; None; None
2020-08-28 22:14:04+00:00; MarcosBotelho; Não confunda “não julgar” com “não avaliar”.  Segundo o sermão do monte de Jesus (Mateus 7) o julgar o próximo é pecado (v.1-7) e o não avaliar o próximo também é pecado (v.15-20).; 1; 14; 101; 1; https://twitter.com/MarcosBotelho/status/1299470331652997126; None; None
2020-08-28 21:26:15+00:00; MarcosBotelho; Adivinha o que aconteceu com quem batizou o Bolsonaro?  É muito “azar” dessa família, tudo e todos que estão perto dessa família estão envolvidos em corrupção ou a milícia de assassinos do Rio. Essa coincidência é muito azar!!!  https://t.co/a5mQG9a827; 5; 25; 223; 1; https://twitter.com/MarcosBotelho/status/1299458298031333377; None; None
2020-08-28 17:41:40+00:00; MarcosBotelho; Provavelmente é culpado, mas é tão óbvio que os deputados do Rio o tiraram rápido para colocá-lo como bode expiatório e esconder rachadinhas, milícias que comandam e corrupção de secretárias! https://t.co/dyio6iNO3l; 1; 1; 33; 0; https://twitter.com/MarcosBotelho/status/1299401777440272385; None; https://twitter.com/MarceloAdnet/status/1299367567396569094
2020-08-28 16:38:52+00:00; MarcosBotelho; Em agosto de 2018 comecei os estudos em Atos dava um trabalhão para postar e ter 300 views em cada vídeo. Eu não desisti com a baixa repercussão e fui até o final, quando começou a pandemia, cada vídeo de estudo ganhou em média 5mil visualizações por mês. Tudo tem seu tempo!!! https://t.co/Ae5zl4OPSq; 3; 2; 40; 0; https://twitter.com/MarcosBotelho/status/1299385973890048000; None; None
2020-08-28 00:27:59+00:00; MarcosBotelho; O Antigo Testamento como testemunho do CRISTO.   Agora com Caio Peres: https://t.co/qzjwdEbEN9; 0; 0; 11; 0; https://twitter.com/MarcosBotelho/status/1299141645829636096; None; None
2020-08-26 13:30:12+00:00; MarcosBotelho; Tim Keller - com ele descobri que sou um eterno religioso em transformação, que o Evangelho de Jesus não é o começo e sim o caminho todo, e que não adianta pregar se não for pra falar da cruz.; 1; 1; 41; 0; https://twitter.com/MarcosBotelho/status/1298613719988088833; None; None
