[2017-12-19 20:36:31+00:00; BolsonaroSP; Lavoura de soja em Mato Grosso do Sul. Isso não tem preço. As pernas chegam a bambear com tamanha responsabilidade. Que Deus nos guie em #2018 🙏 https://t.co/ZdfKAiqKCb; 75; 366; 1621; 25; https://twitter.com/BolsonaroSP/status/943218511194750976; None; None]
[2017-12-19 17:06:09+00:00; BolsonaroSP; Enterrada na CREDEN (Com. Relações Exteriores e Defesa Nacional) projeto do Dep. Molon (REDE-RJ) que visava sustar a portaria 28-COLOG (porte de armas fos atiradores). Relator que votou pela rejeição do projeto foi o Dep. Cláudio Cajado. 👏👏👏; 15; 89; 412; 4; https://twitter.com/BolsonaroSP/status/943165568911380480; None; None]
[2017-12-19 17:02:32+00:00; BolsonaroSP; @pri_girardi @FilipeMelloSC @jairbolsonaro Que nada. Pode ficar tranquila. Medo tenho que assumir uma pessoa sem pulso, que não vai mudar os 60.000 homicídios/ano e seguir nessa política econômica.; 0; 2; 5; 0; https://twitter.com/BolsonaroSP/status/943164657082294273; None; None]
[2017-12-19 17:01:42+00:00; BolsonaroSP; @marialilex @FilipeMelloSC @jairbolsonaro Óbvio, um homem de passado honesto, que estão revirando a vida e nada acham, patriota, de posições firmes doa a quem doer. De enganador e vaselina está cheio por aí. É hora de mudança.; 0; 1; 2; 0; https://twitter.com/BolsonaroSP/status/943164449514512391; None; None]
[2017-12-19 17:00:50+00:00; BolsonaroSP; @FilipeMelloSC @jairbolsonaro SC é o estado que mais apóia @jairbolsonaro .; 10; 1; 46; 1; https://twitter.com/BolsonaroSP/status/943164229963730944; None; None]
[2017-12-19 16:11:44+00:00; BolsonaroSP; @ACLAVE 🙏🇧🇷 🇻🇪; 1; 0; 1; 0; https://twitter.com/BolsonaroSP/status/943151875628642304; None; None]
[2017-12-19 11:44:58+00:00; BolsonaroSP; Perfeitas colocações de @CHumberto_ @radiobandnewsfm sobre os Correios. ECT é moeda de troca no Congresso. O rombo de R$ 7bi no Postalis ocorreu no gov. Dilma, qnd o PDT administrava os Correios.  https://t.co/Yj21fHtKhz; 4; 40; 166; 0; https://twitter.com/BolsonaroSP/status/943084740504113152; None; None]
[2017-12-19 11:12:45+00:00; BolsonaroSP; POLICIAIS FEDERAIS VISAM 2018  Se a política está ruim não basta reclamar, é preciso meter a mão na massa e ocupar esse espaço, pois como já dizia o expoente conservador Edmund Burke “para que o mal prevaleça basta que os bons se calem”-com @SandersonPF   https://t.co/tKKTmMDDQy https://t.co/sS2NZCozCf; 10; 57; 185; 0; https://twitter.com/BolsonaroSP/status/943076634244059136; None; None]
[2017-12-19 10:27:24+00:00; BolsonaroSP; Tenho até medo de pedir isonomia de tratamento dos presos da Lava Jato com os presos comuns. É capaz do STF botar toda população carcerária em prisão domiciliar.; 45; 290; 1180; 8; https://twitter.com/BolsonaroSP/status/943065222104993792; None; None]
[2017-12-19 09:08:54+00:00; BolsonaroSP; Há muito a Venezuela caminha para uma guerra civil contra o regime de Maduro, pois uma ditadura não sai do poder através de urnas comprovadamente fraudadas - @Almagro_OEA2015 https://t.co/f7JLPpeYFr; 12; 143; 356; 4; https://twitter.com/BolsonaroSP/status/943045466480152576; None; https://twitter.com/Eduardo_Bittar/status/943040736060166145]
