2019-08-23 03:04:57+00:00; antonioprata; @DigaMaria Pior que é; 2; 0; 0; 0; https://twitter.com/antonioprata/status/1164735248393003010; None; None
2019-08-23 01:21:36+00:00; antonioprata; Foi com esta propaganda que o ministro do Meio Ambiente concorreu nas últimas eleições. Precisa falar mais alguma coisa? https://t.co/PWMyKuIxSa; 642; 69; 159; 32; https://twitter.com/antonioprata/status/1164709238230454272; None; None
2019-08-23 01:13:31+00:00; antonioprata; @bestiecilla @MongeEmiliano @RomeoTelloA Muchas gracias, Isabel! Me alegra saber que hay alguien en México leyendome. Saludos desde Brasil!; 2; 1; 0; 0; https://twitter.com/antonioprata/status/1164707203804225537; None; None
2019-08-23 01:12:13+00:00; antonioprata; @RomeoTelloA @MongeEmiliano @bestiecilla Ah, gracias, Romeo! Hoy en Brasil no hay felicidad ni tampoco promessa de felicidad. Ni belleza. El gilipollas que fue electo ha prohibido todo eso.; 1; 1; 0; 0; https://twitter.com/antonioprata/status/1164706877281853447; None; None
2019-08-21 14:26:22+00:00; antonioprata; Segundo Bolsonaro, as ONGS podem estar por trás das queimadas na Amazônia. Claro. E a extinção do mico leão dourado está sendo causada pelo suicídio dos macacos. https://t.co/prxda6nUYv; 120; 6; 17; 1; https://twitter.com/antonioprata/status/1164181955371515904; None; None
2019-08-21 14:17:51+00:00; antonioprata; Cancelem o cancelamento. Ao que tudo indica o breu era de cinza mesmo. https://t.co/q5MDghh2dm; 54; 2; 3; 0; https://twitter.com/antonioprata/status/1164179812585529344; None; https://twitter.com/antonioprata/status/1163661470175059968
2019-08-20 19:17:44+00:00; antonioprata; Muito boa a série da Folha sobre desigualdade. Diferenças entre ricos e pobres. Achatamento da classe média. São questões importantes para entendermos a ascensão mundial do populismo de direita. https://t.co/qvpz20FBKl; 76; 2; 9; 0; https://twitter.com/antonioprata/status/1163892892819234816; None; https://twitter.com/dorritharazim/status/1163818346237874176
2019-08-20 03:58:08+00:00; antonioprata; Cancelem (ou adiem) o fim do mundo. Parece que não era a cinza das queimadas o que causou a escuridão. (O que não ameniza em nada o poder devastador das queimadas, ameniza só a escuridão). https://t.co/n3PxVWMYsv; 50; 17; 5; 1; https://twitter.com/antonioprata/status/1163661470175059968; None; https://twitter.com/cenevivaricardo/status/1163657554305650688
2019-08-20 03:55:59+00:00; antonioprata; @cenevivaricardo @inpe_mct Opa, corrigirei, obrigado; 2; 1; 0; 0; https://twitter.com/antonioprata/status/1163660928610705408; None; None
2019-08-20 03:12:25+00:00; antonioprata; As cinzas das queimadas do Centro-Oeste escureceram o dia em SP. Vcs têm ideia do quão Mad Max é este acontecimento? Desculpa se estou meio monotemático. É que o fim da humanidade me causa alguma preocupação.; 2897; 82; 402; 12; https://twitter.com/antonioprata/status/1163649962921615360; None; None
2019-08-20 00:53:14+00:00; antonioprata; Leio uma matéria sugerindo que no ritmo em que o Brasil está devastando a Amazônia, é possível que sejamos invadidos por outro país, num futuro próximo. Finalmente uma boa notícia.; 418; 14; 60; 3; https://twitter.com/antonioprata/status/1163614937232617473; None; None
