2020-05-27 23:13:31+00:00; marceloadnet0; Brainstorm da PF, Witzel, NASA de Arapiraca, Doria e Jefferson. Completo e grátis no @globoplay; 15879; 473; ; ; https://www.instagram.com/p/CAtZOcBhtne/
2020-05-26 21:26:46+00:00; marceloadnet0; #SintaSeEmCasa no @globoplay; 16858; 597; ; ; https://www.instagram.com/p/CAqoSirhQBm/
2020-05-26 00:31:17+00:00; marceloadnet0; #SintaSeEmCasa no @globoplay; 24755; 1834; ; ; https://www.instagram.com/p/CAoYTwLBtX6/
2020-05-25 18:14:14+00:00; marceloadnet0; A maré vai virar! Imagens de calor e paixão com a @saoclementeoficial na quadra da escola e no Morro Santa Marta. 2019/2020 Saudades e até logo! 🥁💛🖤; 8659; 100; ; ; https://www.instagram.com/p/CAntl2uBTO7/
2020-05-22 23:23:37+00:00; marceloadnet0; ; 22152; 1322; ; ; https://www.instagram.com/p/CAghCs7BBNO/
2020-05-21 22:45:34+00:00; marceloadnet0; #SintaSeEmCasa no @globoplay; 16948; 1268; ; ; https://www.instagram.com/p/CAd5VBghCrU/
2020-05-20 21:59:50+00:00; marceloadnet0; Completo no @globoplay; 24074; 1460; ; ; https://www.instagram.com/p/CAbPQuchnaB/
2020-05-19 21:35:51+00:00; marceloadnet0; #SintaSeEmCasa na @globoplay; 15640; 678; ; ; https://www.instagram.com/p/CAYnoWThy7-/
2020-05-18 22:30:04+00:00; marceloadnet0; #SintaSeEmCasa completo e grátis no @globoplay; 34063; 2522; ; ; https://www.instagram.com/p/CAWJICrhDFD/
2020-05-15 22:40:32+00:00; marceloadnet0; e repórter esportivo na quarentena #SintaSeEmCasa no @globoplay; 20325; 1359; ; ; https://www.instagram.com/p/CAOb3MvBdxo/
2020-05-14 21:56:41+00:00; marceloadnet0; ; 20182; 865; ; ; https://www.instagram.com/p/CALyJTcBN72/
2020-05-13 22:16:10+00:00; marceloadnet0; #SintaSeEmCasa no @globoplay; 18152; 813; ; ; https://www.instagram.com/p/CAJPhnLBZt1/
2020-05-12 22:35:21+00:00; marceloadnet0; #SintaSeEmCasa no @globoplay; 21300; 1015; ; ; https://www.instagram.com/p/CAGs_bzhvKd/
2020-05-11 22:57:47+00:00; marceloadnet0; #SintaSeEmCasa no @globoplay; 21189; 1130; ; ; https://www.instagram.com/p/CAEKEz5hokG/
2020-05-11 00:03:34+00:00; marceloadnet0; Mãe ❤️; 26427; 263; ; ; https://www.instagram.com/p/CABtpX0hTsW/
2020-05-08 22:29:28+00:00; marceloadnet0; #SintaEmCasa episódios completos e grátis no @globoplay  link na bio!; 20168; 1266; ; ; https://www.instagram.com/p/B_8ZDbGhrhP/
2020-05-07 23:21:56+00:00; marceloadnet0; Link completo na bio #SintaSeEmCasa; 21953; 966; ; ; https://www.instagram.com/p/B_56WDBBylv/
2020-05-07 22:07:09+00:00; marceloadnet0; Crivella, prefeito do Rio, na quarentena. #SintaSeEmCasa no @globoplay; 21963; 817; ; ; https://www.instagram.com/p/B_5xxmxBhy4/
2020-05-06 23:11:21+00:00; marceloadnet0; Live do Dinho e zap do Jair. Assista #SintaSeEmCasa na íntegra pelo @globoplay; 27793; 1352; ; ; https://www.instagram.com/p/B_3UHlNhdeR/
2020-05-06 00:07:42+00:00; marceloadnet0; com participação via áudio do zap de @fadicooo e @gabrielmachadorj no violão. Os que se foram, permanecerão! #SintaSeEmCasa completo na bio; 12956; 755; ; ; https://www.instagram.com/p/B_01yqwh_1D/
2020-05-05 22:38:13+00:00; marceloadnet0; Assista completo pelo @globoplay. É grátis!; 17690; 1135; ; ; https://www.instagram.com/p/B_0rwmsh6Bh/
2020-05-04 22:08:39+00:00; marceloadnet0; #SintaSeEmCasa episódios completos no @globoplay; 26609; 2034; ; ; https://www.instagram.com/p/B_yDgQ6hTxD/
2020-05-01 21:49:47+00:00; marceloadnet0; William, Jair, Galvão narrando Michael Phelps, Drauzio e Getulio.; 17600; 810; ; ; https://www.instagram.com/p/B_qS--0BkmD/
2020-04-30 22:27:23+00:00; marceloadnet0; Guerra de estantes entre os comentaristas.  #sintaseemcasa no @globoplay; 10977; 467; ; ; https://www.instagram.com/p/B_nyfcRhJyY/
